Feature ID	Taxon	Confidence
00ac87123b48f1eaa9f166bbae2f963f	D_0__Eukaryota;D_1__SAR;D_2__Rhizaria;D_3__Cercozoa;D_4__uncultured	0.998105823648014
00adada544df9f996e0495bdd0031816	D_0__Eukaryota;D_1__Archaeplastida;D_2__Chloroplastida;D_3__Chlorophyta;D_5__Ulvales;D_6__Ulvella;D_7__Ulvella endozoica	0.9935906920326392
00ae9f6bb162450d00e5e17f254c1d3c	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia)	0.8294749852408626
00b128d0537eb46397934e873c5d52da	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Protalveolata;D_4__Syndiniales;D_5__Duboscquella;D_6__Euduboscquella crenulata	0.9999925928650615
00b4452a8dae7efc0f35db7e8842e817	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Ciliophora;D_6__Oligotrichia;D_7__Pseudotontonia;D_8__Pseudotontonia simplicidens	0.9282073533739842
00b55c8251597afd05566e99a0a26269	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_7__Enopla;D_8__Monostilifera;D_9__Zygonemertes virescens	0.9226251506031456
00b5fafca5b1ef89dcf40a2ad7eb18cc	D_0__Eukaryota;D_1__Opisthokonta	0.8797225920347992
00b8cd6ed5b1dfc0fc32c34392f155c7	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Ciliophora;D_7__Cyrtophoria;D_8__Dysteria	0.8039871742614564
00babbd5d8eeefd3ae5e873a7e2b9da3	D_0__Eukaryota;D_1__Haptophyta;D_2__Prymnesiophyceae;D_3__Prymnesiales;D_4__OLI51059;D_5__uncultured eukaryote;D_6__uncultured eukaryote	0.9039272020762709
00c2cdc9528ac087013df7328eb38963	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Ciliophora;D_7__Suctoria	0.9361988503270839
00c32495cdab1ac74b4eb56d8e428050	D_0__Eukaryota;D_1__SAR;D_2__Stramenopiles;D_3__Ochrophyta	0.9688513117549684
00c3b97ff04f30a263229d3bbedb9252	D_0__Eukaryota;D_1__SAR;D_2__Stramenopiles;D_3__Ochrophyta;D_5__Dictyotales;D_6__Padina;D_7__Padina arborescens	0.9921833459681687
00c75430391635bf8a479284257eb046	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Dinoflagellata;D_6__Gonyaulacales;D_7__Neoceratium;D_8__uncultured eukaryote	0.9981280234603189
00c9b38ad4b1fc52eeb187b72fe8acbf	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Dinoflagellata	0.969920324429499
00d0caa42c7e7d6b963868683ecabda7	D_0__Eukaryota;D_1__SAR;D_2__Stramenopiles;D_3__Ochrophyta;D_6__Bacillariophyceae;D_7__Navicula;D_8__uncultured marine eukaryote	0.8246402475652372
00d2afb5628fe45e4a7f27c88c164b53	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Ciliophora;D_7__Peritrichia;D_8__Pseudovorticella;D_9__uncultured eukaryote	0.9806128538517124
00d846e6b3d1cd48df1117ad346ab077	D_0__Eukaryota;D_1__SAR;D_2__Alveolata	0.9856586291414826
00e97b48f1e56e541402bcaed33ff310	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Apicomplexa;D_6__Eimeriorina	0.9198934863609862
00ebcb8b21b993d95030c511b092b108	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Ciliophora;D_7__Colpodida	0.9969738652708566
00ee73e5c7180808e5eb6f40b84ffeff	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Apicomplexa;D_6__Archigregarinorida;D_7__Selenidium;D_8__Selenidium orientale	0.9999999999990905
00f3eb7c2cc4e2d4be9e7227016cb41f	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_7__Chromadorea;D_8__Monhysterida;D_9__Theristus agilis	0.8264884793851253
00fa822b05afce3c5b0fb5a0a63a6034	D_0__Eukaryota;D_1__Archaeplastida;D_2__Rhodophyceae;D_3__Florideophycidae;D_4__Rhodymeniophycidae;D_5__Osmundea;D_6__Osmundea pinnatifida	0.999958006804645
00fd48774e0e28348db131038e42bfcc	D_0__Eukaryota;D_1__SAR;D_2__Stramenopiles;D_3__Ochrophyta;D_6__Bacillariophyceae;D_7__Amphora	0.9763301935904266
010fc08ae38cf40c61c78665ef9ddb23	D_0__Eukaryota;D_1__SAR;D_2__Rhizaria;D_3__Cercozoa;D_7__Peregriniidae;D_8__D2P04A09;D_9__uncultured marine eukaryote	0.9995023281207495
0111ea18eaf6a005e7020c7ecec1899f	D_0__Eukaryota;D_1__SAR;D_2__Stramenopiles;D_3__Ochrophyta;D_6__Bacillariophyceae;D_7__Navicula	0.9943082327867652
011b4457158a509dd6c4c16e0076cae2	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Ciliophora;D_7__Scuticociliatia;D_8__Sathrophilus;D_9__Sathrophilus planus	0.9939496459560105
011d0cf6a65428ae3381e599f5a35122	D_0__Eukaryota;D_1__Cryptophyceae;D_2__Cryptomonadales	0.9999999996942477
011ddfb95fddeade850bcad6c4bb609b	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Protalveolata;D_4__Syndiniales	0.9999999972371775
011e474f7528895db939470f9ec24553	D_0__Eukaryota;D_1__SAR;D_2__Rhizaria;D_3__Cercozoa;D_4__Vampyrellidae;D_5__uncultured;D_6__uncultured freshwater eukaryote	0.99129696831786
01246425dd900e8c0eb1d51dfb4ac7f3	D_0__Eukaryota;D_1__SAR;D_2__Stramenopiles;D_3__Labyrinthulomycetes;D_4__Labyrinthulaceae;D_5__Labyrinthula	0.9582310625673814
0128f8040f0be2f15440125cf67155ed	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Ciliophora;D_6__Haptoria	0.8788424545098464
0129b7274de62c153950e10fc9329f40	D_0__Eukaryota;D_1__Archaeplastida;D_2__Chloroplastida;D_3__Chlorophyta	0.9999812560858338
012b4e3c1a05baf28d9abf708b1d45a8	D_0__Eukaryota;D_1__SAR;D_2__Rhizaria;D_3__Cercozoa;D_5__Marimonadida;D_6__Pseudopirsonia	0.9246154641421631
012e1a45a3c939eed522299ca3e0607a	D_0__Eukaryota;D_1__SAR;D_2__Stramenopiles;D_3__Labyrinthulomycetes;D_4__Thraustochytriaceae;D_5__Aplanochytrium;D_6__Aplanochytrium kerguelense	0.9877434877301926
012f470456889d329a1c1e10ae52d165	D_0__Eukaryota;D_1__SAR;D_2__Rhizaria;D_3__Cercozoa;D_4__uncultured;D_5__metagenome;D_6__metagenome	0.8859075514696548
0132228f81dabcf596ef6511425cbc4a	D_0__Eukaryota;D_1__SAR;D_2__Rhizaria;D_3__Cercozoa	0.9999999999999879
0133d0706e12136613776de36eed239d	D_0__Eukaryota;D_1__SAR;D_2__Rhizaria;D_3__Cercozoa;D_6__Protaspidae;D_7__Cryothecomonas	0.9820688702787205
0137ae8b18f58fcfb587f28e2553bf11	D_0__Eukaryota;D_1__Cryptophyceae;D_2__Cryptomonadales;D_3__Rhodomonas;D_4__Rhodomonas sp. M1630;D_5__Rhodomonas sp. M1630;D_6__Rhodomonas sp. M1630	0.9377417954938309
0138aa985e1e6207cfefc9af138c5c04	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Ciliophora;D_4__Postciliodesmatophora;D_5__Heterotrichea;D_6__metagenome	0.9999659286736586
013afc91515400fecab1afe65ba4fdbb	D_0__Eukaryota;D_1__Archaeplastida;D_2__Chloroplastida;D_3__Charophyta;D_11__Alismatales;D_12__Phyllospadix;D_13__Phyllospadix iwatensis	0.9931173946467049
013f75b55366fe5301083ef74e14af4e	D_0__Eukaryota;D_1__SAR;D_2__Stramenopiles;D_3__Ochrophyta;D_6__Bacillariophyceae;D_7__Achnanthes;D_8__Achnanthes brevipes	0.9850364310790856
01409ce705bff26fbd785520c4ea46a0	D_0__Eukaryota;D_1__SAR;D_2__Rhizaria;D_3__Cercozoa	0.9998979002596633
01413f74a2df665d7d548c91be9ae777	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Protalveolata;D_4__Syndiniales;D_5__Amoebophrya	0.9999958321796184
